Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
GOTERM_BP_DIRECT	300001827$GO:0006782~protoporphyrinogen IX biosynthetic process,300001828$GO:0006783~heme biosynthetic process,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460000977$GO:0004655~porphobilinogen synthase activity,460001672$GO:0008270~zinc ion binding,
INTERPRO	530001435$IPR001731:Porphobilinogen synthase,530011680$IPR013785:Aldolase-type TIM barrel,
KEGG_PATHWAY	550041987$mtu00860:Porphyrin and chlorophyll metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,
PIR_SUPERFAMILY	700000439$PIRSF001415:porphobilinogen synthase,
SMART	790000887$SM01004:SM01004,
UP_KEYWORDS	870000251$Complete proteome,870000460$Heme biosynthesis,870000667$Lyase,870000670$Magnesium,870000691$Metal-binding,870000870$Porphyrin biosynthesis,870000928$Reference proteome,
UP_SEQ_FEATURE	880012144$chain:Delta-aminolevulinic acid dehydratase,

Rv0670	endonuclease IV(end)
GOTERM_BP_DIRECT	300001445$GO:0006281~DNA repair,300001448$GO:0006284~base-excision repair,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000440$GO:0003906~DNA-(apurinic or apyrimidinic site) lyase activity,460001576$GO:0008081~phosphoric diester hydrolase activity,460001672$GO:0008270~zinc ion binding,460001998$GO:0008833~deoxyribonuclease IV (phage-T4-induced) activity,
INTERPRO	530001424$IPR001719:Endodeoxyribonuclease IV,530011037$IPR013022:Xylose isomerase-like, TIM barrel domain,530015346$IPR018246:AP endonuclease, family 2, zinc binding site,
KEGG_PATHWAY	550042019$mtu03410:Base excision repair,
SMART	790000450$SM00518:AP2Ec,
UP_KEYWORDS	870000251$Complete proteome,870000321$DNA damage,870000327$DNA repair,870000348$Endonuclease,870000516$Hydrolase,870000691$Metal-binding,870000781$Nuclease,870000928$Reference proteome,870001206$Zinc,
UP_SEQ_FEATURE	880034575$chain:Probable endonuclease 4,880079605$metal ion-binding site:Zinc 1,880079612$metal ion-binding site:Zinc 2,880079620$metal ion-binding site:Zinc 3,

Rv2486	enoyl-CoA hydratase EchA14(echA14)
COG_ONTOLOGY	120000084$Lipid metabolism,
GOTERM_BP_DIRECT	300001712$GO:0006635~fatty acid beta-oxidation,300002484$GO:0008152~metabolic process,
GOTERM_MF_DIRECT	460000679$GO:0004300~enoyl-CoA hydratase activity,
INTERPRO	530001454$IPR001753:Crotonase superfamily,530015449$IPR018376:Enoyl-CoA hydratase/isomerase, conserved site,
KEGG_PATHWAY	550041914$mtu00071:Fatty acid degradation,550041926$mtu00280:Valine, leucine and isoleucine degradation,550041927$mtu00281:Geraniol degradation,550041930$mtu00310:Lysine degradation,550041936$mtu00360:Phenylalanine metabolism,550041938$mtu00362:Benzoate degradation,550041940$mtu00380:Tryptophan metabolism,550041943$mtu00410:beta-Alanine metabolism,550041969$mtu00627:Aminobenzoate degradation,550041972$mtu00640:Propanoate metabolism,550041975$mtu00650:Butanoate metabolism,550041989$mtu00903:Limonene and pinene degradation,550041993$mtu00930:Caprolactam degradation,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042004$mtu01212:Fatty acid metabolism,
UP_KEYWORDS	870000251$Complete proteome,870000378$Fatty acid metabolism,870000656$Lipid metabolism,870000667$Lyase,870000928$Reference proteome,
UP_SEQ_FEATURE	880034584$chain:Probable enoyl-CoA hydratase echA14,

Rv3550	enoyl-CoA hydratase EchA20(echA20)
COG_ONTOLOGY	120000084$Lipid metabolism,
GOTERM_BP_DIRECT	300001712$GO:0006635~fatty acid beta-oxidation,
GOTERM_MF_DIRECT	460000661$GO:0004165~dodecenoyl-CoA delta-isomerase activity,460000679$GO:0004300~enoyl-CoA hydratase activity,
INTERPRO	530001454$IPR001753:Crotonase superfamily,
KEGG_PATHWAY	550041914$mtu00071:Fatty acid degradation,550041926$mtu00280:Valine, leucine and isoleucine degradation,550041927$mtu00281:Geraniol degradation,550041930$mtu00310:Lysine degradation,550041936$mtu00360:Phenylalanine metabolism,550041938$mtu00362:Benzoate degradation,550041940$mtu00380:Tryptophan metabolism,550041943$mtu00410:beta-Alanine metabolism,550041969$mtu00627:Aminobenzoate degradation,550041972$mtu00640:Propanoate metabolism,550041975$mtu00650:Butanoate metabolism,550041989$mtu00903:Limonene and pinene degradation,550041993$mtu00930:Caprolactam degradation,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042004$mtu01212:Fatty acid metabolism,
UP_KEYWORDS	870000251$Complete proteome,870000667$Lyase,870000928$Reference proteome,

Rv2930	fatty-acid--CoA ligase FadD26(fadD26)
GOTERM_BP_DIRECT	300001711$GO:0006633~fatty acid biosynthetic process,300002484$GO:0008152~metabolic process,300008619$GO:0044119~growth of symbiont in host cell,300011047$GO:0052572~response to host immune response,300012966$GO:0071766~Actinobacterium-type cell wall biogenesis,300012969$GO:0071770~DIM/DIP cell wall layer assembly,300013986$GO:0097040~phthiocerol biosynthetic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000373$GO:0003824~catalytic activity,460001536$GO:0005524~ATP binding,460002982$GO:0016878~acid-thiol ligase activity,460006858$GO:0070566~adenylyltransferase activity,
INTERPRO	530000714$IPR000873:AMP-dependent synthetase/ligase,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000378$Fatty acid metabolism,870000646$Ligase,870000656$Lipid metabolism,870000786$Nucleotide-binding,870000928$Reference proteome,
UP_SEQ_FEATURE	880042608$chain:Putative fatty-acid--CoA ligase fadD26,

Rv3561	fatty-acid--CoA ligase FadD3(fadD3)
GOTERM_BP_DIRECT	300002484$GO:0008152~metabolic process,300002489$GO:0008203~cholesterol metabolic process,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002978$GO:0016874~ligase activity,
INTERPRO	530000714$IPR000873:AMP-dependent synthetase/ligase,530017484$IPR020845:AMP-binding, conserved site,530021302$IPR025110:Domain of unknown function DUF4009,
UP_KEYWORDS	870000104$ATP-binding,870000217$Cholesterol metabolism,870000251$Complete proteome,870000646$Ligase,870000656$Lipid metabolism,870000786$Nucleotide-binding,870000928$Reference proteome,870001016$Steroid metabolism,870001020$Sterol metabolism,

Rv1817	flavoprotein(Rv1817)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530003241$IPR003953:FAD binding domain,530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,530023306$IPR027477:Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1552	fumarate reductase flavoprotein subunit(frdA)
GOTERM_BP_DIRECT	300002597$GO:0009061~anaerobic respiration,300005117$GO:0022900~electron transport chain,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002824$GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,460006265$GO:0050660~flavin adenine dinucleotide binding,
INTERPRO	530003240$IPR003952:Fumarate reductase/succinate dehydrogenase, FAD-binding site,530003241$IPR003953:FAD binding domain,530004984$IPR005884:Fumarate reductase, flavoprotein subunit,530011874$IPR014006:Succinate dehydrogenase/fumarate reductase, flavoprotein subunit,530013339$IPR015939:Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal,530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,530023306$IPR027477:Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain,
KEGG_PATHWAY	550041907$mtu00020:Citrate cycle (TCA cycle),550041918$mtu00190:Oxidative phosphorylation,550041963$mtu00620:Pyruvate metabolism,550041975$mtu00650:Butanoate metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,550042011$mtu02020:Two-component system,
PIR_SUPERFAMILY	700000079$PIRSF000171:succinate dehydrogenase, flavoprotein subunit (SDHA/APRA/LASPO),
UP_KEYWORDS	870000251$Complete proteome,870000343$Electron transport,870000374$FAD,870000388$Flavoprotein,870000802$Oxidoreductase,870000928$Reference proteome,870001103$Transport,
UP_SEQ_FEATURE	880016707$chain:Fumarate reductase flavoprotein subunit,880079642$modified residue,880079669$nucleotide phosphate-binding region:FAD,

Rv2173	geranylgeranyl pyrophosphate synthetase IdsA(idsA2)
GOTERM_BP_DIRECT	300002515$GO:0008299~isoprenoid biosynthetic process,
GOTERM_MF_DIRECT	460002885$GO:0016740~transferase activity,
INTERPRO	530000070$IPR000092:Polyprenyl synthetase,530007654$IPR008949:Terpenoid synthase,
KEGG_PATHWAY	550041988$mtu00900:Terpenoid backbone biosynthesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042001$mtu01130:Biosynthesis of antibiotics,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870001085$Transferase,

Rv1121	glucose-6-phosphate 1-dehydrogenase(zwf1)
GOTERM_BP_DIRECT	300001257$GO:0006006~glucose metabolic process,300001326$GO:0006098~pentose-phosphate shunt,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000720$GO:0004345~glucose-6-phosphate dehydrogenase activity,460006266$GO:0050661~NADP binding,
INTERPRO	530001055$IPR001282:Glucose-6-phosphate dehydrogenase,530013409$IPR016040:NAD(P)-binding domain,530016665$IPR019796:Glucose-6-phosphate dehydrogenase, active site,530019200$IPR022674:Glucose-6-phosphate dehydrogenase, NAD-binding,530019201$IPR022675:Glucose-6-phosphate dehydrogenase, C-terminal,
KEGG_PATHWAY	550041908$mtu00030:Pentose phosphate pathway,550041950$mtu00480:Glutathione metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,
PIR_SUPERFAMILY	700000048$PIRSF000110:glucose-6-phosphate dehydrogenase,
UP_KEYWORDS	870000173$Carbohydrate metabolism,870000251$Complete proteome,870000422$Glucose metabolism,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880000109$active site:Proton acceptor,880000430$binding site:NADP,880000510$binding site:Substrate,880034833$chain:Probable glucose-6-phosphate 1- dehydrogenase,880087857$sequence conflict,

Rv0072	glutamine ABC transporter permease(Rv0072)
COG_ONTOLOGY	120000032$Cell envelope biogenesis, outer membrane,
GOTERM_BP_DIRECT	300001846$GO:0006810~transport,300002753$GO:0009405~pathogenesis,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530003145$IPR003838:Permease FtsX-like,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,

Rv2220	glutamine synthetase(glnA1)
GOTERM_BP_DIRECT	300001630$GO:0006542~glutamine biosynthetic process,300002749$GO:0009399~nitrogen fixation,300002753$GO:0009405~pathogenesis,300004796$GO:0020012~evasion or tolerance of host immune response,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000294$GO:0005737~cytoplasm,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000731$GO:0004356~glutamate-ammonia ligase activity,460001536$GO:0005524~ATP binding,
INTERPRO	530001353$IPR001637:Glutamine synthetase class-I, adenylation site,530004018$IPR004809:Glutamine synthetase type I,530006998$IPR008146:Glutamine synthetase, catalytic domain,530006999$IPR008147:Glutamine synthetase, beta-Grasp,530012437$IPR014746:Glutamine synthetase/guanido kinase, catalytic domain,530023157$IPR027302:Glutamine synthetase, N-terminal conserved site,530023158$IPR027303:Glutamine synthetase, glycine-rich site,
KEGG_PATHWAY	550041919$mtu00220:Arginine biosynthesis,550041922$mtu00250:Alanine, aspartate and glutamate metabolism,550041970$mtu00630:Glyoxylate and dicarboxylate metabolism,550041991$mtu00910:Nitrogen metabolism,550041998$mtu01100:Metabolic pathways,550042000$mtu01120:Microbial metabolism in diverse environments,550042006$mtu01230:Biosynthesis of amino acids,550042011$mtu02020:Two-component system,
SMART	790001092$SM01230:SM01230,
UP_KEYWORDS	870000010$3D-structure,870000104$ATP-binding,870000251$Complete proteome,870000288$Cytoplasm,870000646$Ligase,870000786$Nucleotide-binding,870000841$Phosphoprotein,870000928$Reference proteome,
UP_SEQ_FEATURE	880017949$chain:Glutamine synthetase 1,880079268$helix,880079642$modified residue,880089040$strand,880089085$turn,

Rv3198A	glutaredoxin protein(Rv3198A)
GOTERM_BP_DIRECT	300008997$GO:0045454~cell redox homeostasis,
GOTERM_CC_DIRECT	380000224$GO:0005623~cell,
GOTERM_MF_DIRECT	460002172$GO:0009055~electron carrier activity,460002315$GO:0015035~protein disulfide oxidoreductase activity,
INTERPRO	530001742$IPR002109:Glutaredoxin,530010177$IPR011915:Glutaredoxin-like protein, actinobacteria,530010442$IPR012336:Thioredoxin-like fold,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880042753$chain:Putative glutaredoxin Rv3198.1/MT3292,880077526$domain:Glutaredoxin,

Rv1436	glyceraldehyde 3-phosphate dehydrogenase(gap)
GOTERM_BP_DIRECT	300001257$GO:0006006~glucose metabolic process,300001324$GO:0006096~glycolytic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000740$GO:0004365~glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,460002820$GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,460006266$GO:0050661~NADP binding,460006339$GO:0051287~NAD binding,
INTERPRO	530005466$IPR006424:Glyceraldehyde-3-phosphate dehydrogenase, type I,530013409$IPR016040:NAD(P)-binding domain,530017470$IPR020828:Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain,530017471$IPR020829:Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain,530017472$IPR020830:Glyceraldehyde 3-phosphate dehydrogenase, active site,530017473$IPR020831:Glyceraldehyde/Erythrose phosphate dehydrogenase family,
KEGG_PATHWAY	550041906$mtu00010:Glycolysis / Gluconeogenesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,550042006$mtu01230:Biosynthesis of amino acids,
PIR_SUPERFAMILY	700000065$PIRSF000149:glyceraldehyde-3-phosphate dehydrogenase,
SMART	790000731$SM00846:SM00846,
UP_KEYWORDS	870000251$Complete proteome,870000288$Cytoplasm,870000434$Glycolysis,870000753$NAD,870000786$Nucleotide-binding,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880000085$active site:Nucleophile,880000353$binding site:Glyceraldehyde 3-phosphate,880000423$binding site:NAD,880000429$binding site:NAD; via carbonyl oxygen,880018150$chain:Glyceraldehyde-3-phosphate dehydrogenase,880079685$nucleotide phosphate-binding region:NAD,880082604$region of interest:Glyceraldehyde 3-phosphate binding,880088359$site:Activates thiol group during catalysis,

Rv0917	glycine betaine transport integral membrane protein BetP(betP)
GOTERM_BP_DIRECT	300012950$GO:0071705~nitrogen compound transport,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001387$GO:0005215~transporter activity,460002336$GO:0015077~monovalent inorganic cation transmembrane transporter activity,
INTERPRO	530000046$IPR000060:BCCT transporter family,530015233$IPR018093:BCCT transporter, conserved site,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880067113$chain:Uncharacterized transporter Rv0917/MT0942,880089084$transmembrane region,

Rv1827	glycogen accumulation regulator GarA(garA)
GOTERM_BP_DIRECT	300008423$GO:0043457~regulation of cellular respiration,300009199$GO:0045820~negative regulation of glycolytic process,300009668$GO:0046777~protein autophosphorylation,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460004822$GO:0042802~identical protein binding,
INTERPRO	530000200$IPR000253:Forkhead-associated (FHA) domain,530007679$IPR008984:SMAD/FHA domain,
SMART	790000203$SM00240:FHA,
UP_KEYWORDS	870000010$3D-structure,870000030$Acetylation,870000251$Complete proteome,870000317$Direct protein sequencing,870000841$Phosphoprotein,870000928$Reference proteome,
